Date	sma	willr	rsi	ema	macd	macd_signal	macd_hist	return_1	return_10	return_20
2018-02-23	42.40233332316081	-0.5902950214049503	60.52670543148463	42.27752336272008	0.14079654864173818	-0.2640208699761044	0.4048174186178426	0.017391304347825987	0.13116343476683023	0.025656007094788436
2018-02-26	42.43308334350586	-1.4408173478072879	64.53124452252784	42.43655413320109	0.3178984470995445	-0.14763700656097462	0.4655354536605191	0.019772086727653182	0.14423628304062852	0.04349604660251938
2018-03-01	42.425833257039386	-18.499002753916027	56.53971613011218	42.769646916960305	0.5273091303401145	0.17083639920978172	0.3564727311303328	-0.01751625422589309	0.045587650746301334	0.04521297052719597
2018-03-05	42.386750030517575	-20.03156324956685	59.166285511805164	42.93967561710726	0.5648159776933213	0.3094985977188225	0.25531737997449877	0.003461781891547666	0.025459692831351077	0.10168228862441597
2018-03-09	42.46383336385091	-6.659722674305058	62.98882127172368	43.261479752253926	0.5998454948978207	0.46050596977450964	0.13933952512331105	0.01718092711759467	0.025527041182558774	0.1600386903503277
2018-03-13	42.649000040690105	-29.940634346660733	61.13660360561665	43.50403694928891	0.6885305343923207	0.5401808545228585	0.14834967986946224	-0.009630200243475606	0.008857009005328598	0.10607826067629889
2018-03-26	43.56716702779134	-57.81248458500364	48.52888420809995	43.399757349018444	-0.09791225620234201	0.2311951228851602	-0.3291073790875022	0.04747181832882674	-0.049251578737181556	-0.03464266025565055
2018-03-29	43.63533363342285	-84.6982935804556	42.59145019517839	43.124255578472514	-0.35241648455181007	-0.024096154315354695	-0.32832033023645535	0.007808764326768802	-0.0608452028466675	-0.041257149832589324
2018-04-02	43.582750193277995	-88.38680190835105	41.16018513197119	43.03043251979334	-0.4132480459707182	-0.1019265326464274	-0.3113215133242908	-0.006556240979370909	-0.0637007713993969	-0.0540832737925091
2018-04-16	43.34583358764648	-3.156954595993657	56.46631784130006	43.08066907211154	0.061982446380170586	-0.11647855120116772	0.17846099758133832	0.006238262595618549	0.054835703444121586	-0.012358144564894369
2018-04-24	42.97600034077962	-90.29344750443039	36.41546477678643	42.87210548362321	-0.2888397009058892	-0.053970114828591764	-0.2348695860772974	-0.013919165911991938	-0.05950936541756857	-0.05689646112153024
2018-04-25	42.840000279744466	-86.28672399332471	37.8344057960874	42.745679224945654	-0.398017539528837	-0.12277959976864082	-0.27523793976019617	0.004357379676199757	-0.05097430074502962	-0.02786029786998756
2018-05-01	42.4274169921875	-53.741112233367005	49.43199744635436	42.41739445300099	-0.47771851892147055	-0.35402428193339036	-0.12369423698808019	0.02323618373665659	-0.051279169142524395	0.004216442285412958
2018-05-02	42.43850034077962	-12.943721644982684	59.510517079137756	42.528691703198	-0.2603441744105197	-0.3352882604288162	0.0749440860182965	0.04417504997681854	-0.007141188932881737	0.028902783615327277
2018-05-03	42.485333633422854	-11.196085882576478	59.87940255719075	42.637969647986004	-0.0806881462163318	-0.28436823758631935	0.20368009136998755	0.0018122673849252369	0.02366895987071005	0.02366895987071005
2018-05-04	42.61016693115234	-1.778146722137523	66.9188025920141	42.85213292603618	0.1993921313566389	-0.1876161637977277	0.38700829515436663	0.03923343583782257	0.10928071733618294	0.0917567199204854
2018-05-09	43.047833633422854	-1.1464409599270466	70.02624361130968	43.524433826929354	0.8249935319041555	0.22912611876988975	0.5958674131342657	0.007041104741230875	0.14488241734286156	0.08652283668353
2018-05-11	43.41758359273275	-5.98520297171941	69.23547831182879	43.998723927506575	1.1122608193840549	0.5304888278034027	0.5817719915806522	-0.007629956848393515	0.16184073329420245	0.0793223885380494
2018-05-14	43.59650026957194	-7.46470057053729	68.28592169490341	44.194773898255896	1.1719285672082194	0.658776775684366	0.5131517915238534	-0.002333116548864589	0.1385090170065424	0.07012846125940975
2018-05-21	44.29916687011719	-16.535857250598795	64.18547719598698	44.927599590638025	1.10710920091271	0.985604942475167	0.12150425843754298	0.00708500532186207	0.01333982054359062	0.1354998707657069
2018-05-22	44.41508356730143	-20.15061475802404	63.037350662028814	45.04775451482443	1.0690505739716443	1.0022940687744624	0.0667565051971819	-0.00250493635597715	0.0059661413176261835	0.14864367778202725
2018-05-23	44.54775021870931	-16.475368931346686	64.77007903703779	45.179512297905944	1.050981211957442	1.0120314974110582	0.03894971454638374	0.006411609984837474	0.005337318513782829	0.15099301946504995
2018-05-24	44.66450017293294	-33.134361669904415	64.20284874597037	45.29938237379079	1.0206591424451688	1.0137570264178803	0.0069021160272884075	-0.0011149220279608185	-0.009945271818668	0.1457191115448877
2018-06-01	45.17833340962728	-0.3873848565049606	65.92593619693905	45.799470285350864	0.8339460675355497	0.9242089593758342	-0.09026289184028458	0.01803398332548367	0.01738060807810826	0.07547066623087373
2018-06-06	45.8884999593099	-1.201995378351612	71.51947288979271	46.24779391121651	0.9373424296586279	0.9152304397277538	0.022111989930874154	0.003465926115602036	0.036439367022786495	0.04262291075359559
2018-06-08	46.36591669718425	-29.620844512261268	63.57121490294326	46.48378223660969	0.9031336489373061	0.9173939275585583	-0.014260278621252231	-0.009097538015844786	0.01886794136018377	0.008735022736030107
2018-06-22	47.220749918619795	-86.32557003997093	42.56972032889039	46.74084783691946	0.12714459964560376	0.44142645891453497	-0.3142818592689312	-0.002911725037058832	-0.035367756323582134	-0.017167131715752904
2018-06-25	47.16724993387858	-89.30955968145723	36.413824504001	46.66353504371409	0.002191621847750014	0.35357949150117796	-0.35138786965342794	-0.014871295842689536	-0.04737749182143092	-0.033990898291813454
2018-06-26	47.13624992370605	-72.53157674139356	43.62839141473468	46.62766169695482	-0.050659870556664544	0.27273161908960947	-0.323391489646274	0.012405964371476896	-0.04082591092860377	-0.018467276920800635
2018-06-28	47.094916661580406	-60.740735159112	47.07088426267444	46.57589338214317	-0.10525553717381086	0.13799715905491597	-0.24325269622872683	0.007276261464184142	-0.02777779332802266	-0.007331273896209911
2018-07-03	47.05558319091797	-70.57196467960097	43.783029359251245	46.533825141206556	-0.12476830235983272	0.01677497379265766	-0.14154327615249038	-0.017416361974554873	-0.009532038608376148	-0.048574825452585624
2018-07-05	47.040916442871094	-50.4772615108292	47.83060931301325	46.5219653562333	-0.12415237433105375	-0.011410495832084623	-0.11274187849896913	0.008046953796615242	-0.005898156051022063	-0.0442313744717574
2018-07-09	47.05791651407878	-1.004933421052228	59.30311741009119	46.62281780507154	0.023501775550052173	-0.013962563893374936	0.03746433944342711	0.013885197602818922	0.030607850519976276	-0.005842436802384943
2018-07-10	47.072666549682616	-8.815093902994626	58.663595525634335	46.68505546447847	0.09268797983228438	0.007367544851756931	0.08532043498052745	-0.0012068198411654407	0.0449031564845499	-0.004601734265984203
2018-07-16	47.14466667175293	-17.210584859841013	57.86988198220071	46.897162980231705	0.2483971996851082	0.11783647145048898	0.13056072823461923	-0.0021951506032815704	0.03133273746763443	0.010961699663004199
2018-07-19	47.09975001017253	-7.905439278105026	59.15143638153244	47.06330003169642	0.3110565033885777	0.20391578755243334	0.10714071583614437	0.00777316719417942	0.034951516718744635	0.02884721116789546
2018-08-02	47.47650006612142	-5.126906361122086	75.76060763159693	47.90392306562246	0.7208737625957653	0.4266147805377154	0.2942589820580499	0.029230766201729264	0.0808317391710951	0.11860844777288326
2018-08-13	48.851083501180014	-9.506411414249122	71.5501146034516	49.44256044512184	1.3171335486610403	1.0700548732362667	0.24707867542477358	0.006456880189719794	0.09983671786354131	0.0940756959329665
2018-08-17	49.73791707356771	-1.2932370125627672	80.1000039325554	50.33089027767226	1.5003277588968942	1.2688197300943278	0.23150802880256638	0.019969971688409416	0.046107967135977646	0.13654408199064383
2018-08-29	51.520333735148114	-3.032161376592556	81.05798237344715	52.012743929367424	1.5365178473794217	1.453618379686342	0.08289946769307965	0.01492944390012707	0.060597364447791735	0.10660047507463544
2018-09-07	53.14808362325032	-52.87425236279863	63.334778492538646	53.42535333530262	1.5474045462124906	1.6109316914966296	-0.06352714528413905	-0.008068144341164318	0.02696179595567405	0.05945996686429256
2018-09-18	54.41883379618327	-86.59087362367424	51.17927752085151	54.130847490387566	0.8522836416488602	1.2022103349049114	-0.3499266932560512	0.001652288426123416	-0.04431597079234184	0.01290262087009375
2018-10-03	55.56658363342285	-7.7049754406532145	67.99080388369096	55.157916026766244	0.8437116788085177	0.7098951997261123	0.13381647908240546	0.01216856489783713	0.0627376128285353	0.02292066962995798
2018-10-10	55.857750193277994	-98.22045010804659	42.66632101290645	55.366642159181374	0.4268654835093244	0.6542774692377806	-0.22741198572845622	-0.04632606661540717	-0.018419370258237144	-0.02130549852002106
2018-10-19	55.50208346048991	-66.95039124556484	48.29497446816449	55.135658755708704	-0.08488301963154754	0.15362382870057814	-0.23850684833212568	0.015230039908633808	-0.022203379003119195	0.007580602171843198
2018-10-22	55.521416727701826	-60.61470933260995	49.81244344285717	55.13739035044499	-0.0767249031473014	0.10755408233100222	-0.18427898547830363	0.006110055869808839	-0.0139429338892878	-0.0006340839435916568
2018-10-26	55.344333267211915	-73.37794956535407	45.83003593190069	55.00926887704482	-0.1987679342740094	-0.03839605568600695	-0.16037187858800245	-0.015923566657894184	-0.026158198832236468	-0.04181803052933886
2018-11-15	53.21191660563151	-84.95742576787127	35.464950710613934	52.33438197131765	-1.8044053212989368	-1.2136363554052718	-0.590768965893665	0.024678803720759257	-0.13864637471581176	-0.11392463717995094
2018-11-27	50.78766657511393	-90.01502527500081	29.36953656696325	49.449761965899086	-2.763128145245247	-2.2334915481266364	-0.5296365971186106	-0.002176094574784626	-0.10264197797664065	-0.17904258865666078
2018-11-30	49.78524996439616	-71.88237896752854	35.67863665502114	48.62646211488406	-2.438921682221242	-2.373184922814122	-0.06573675940711965	-0.005402401582936811	-0.06702889914626997	-0.19638195999425956
2018-12-03	49.4978333791097	-45.91376743041861	42.77965217508161	48.47023887076604	-2.2155294264581116	-2.34165382354292	0.1261243970848085	0.0349423531704709	-0.04500589836209867	-0.10921529241342964
2018-12-04	49.13150011698405	-73.97812145893991	37.041817550737754	48.192965434610265	-2.1773956547743296	-2.308802189789202	0.13140653501487254	-0.043988770482789374	-0.04933820154326729	-0.12351800361536192
2018-12-06	48.73141682942708	-81.95060500989567	35.789187046783105	47.90180639400159	-2.161992916064321	-2.279440335044226	0.11744741897990485	-0.011149477579278533	-0.012769773767625114	-0.14256270521992553
2018-12-14	46.370250193278	-90.05093088496031	32.08793803485567	46.00865003070062	-2.1865246214805794	-2.2369594786431546	0.05043485716257523	-0.03199766784645952	-0.07836261255959365	-0.11413279965692236
2018-12-17	45.88458353678386	-94.5519750198378	31.074273128492685	45.684543616484554	-2.206705279944771	-2.230908638903478	0.024203358958707177	-0.009306220243493368	-0.08198006069850183	-0.1435139266242068
2018-12-20	44.80916697184245	-94.83806069229807	28.07774140059241	44.70174357852186	-2.278909480089929	-2.22471971964442	-0.05418976044550927	-0.025234617278859672	-0.10239239505870945	-0.1138546411059096
2018-12-26	43.40766690572103	-62.468957379320806	36.44970237495769	43.473970571086475	-2.522591058266137	-2.375252067160684	-0.14733899110545323	0.07042155015286333	-0.0679594756688241	-0.0999312646672077
2019-01-14	40.297000122070315	-53.91705231145156	38.455135564711014	40.4455634620412	-1.675716147381344	-1.9750274872258011	0.2993113398444571	-0.015037056846080588	-0.03987707801262452	-0.12255043768491636
2019-01-15	40.07633349100749	-36.23267894577241	42.47028355716735	40.30504335681626	-1.548432896798225	-1.889708569140286	0.3412756723420609	0.020466715494791732	-0.029605667594246987	-0.07499388883084823
2019-01-17	39.638000106811525	-20.161289613739942	46.005273181468155	40.12383091357265	-1.2383648365721456	-1.6800896905195692	0.44172485394742367	0.005937770455975322	0.09613895445693132	-0.061480136470001945
2019-01-22	39.29391682942708	-32.93769164035998	43.27530485420322	39.95232253050782	-1.0197543583396111	-1.452544371330946	0.4327900129913349	-0.022446142762788446	0.036301025091957095	-0.022508440592250767
